,Year,Player,Pos,G,MP,PER,Team,Notes,index,Height,Weight,Age,Draft_year,Prev_Avg_EFF,After_Avg_EFF,Ankle ,Foot,Hip ,Knee,Finger,Shoulder,Back,Achilles,Hamstring,Other,Type 
177,2015,Dante Exum,PG,82,1817,5.7,Jazz,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),8,198.12,86.18248,19,2014,4.6,5.8,0,0,0,1,0,0,0,0,0,0,Knee
4,2011,Darrell Arthur,PF,80,1609,15.7,Grizzlies,ruptured right Achilles tendon (out for season),4,205.74,106.59412,23,2008,8.1,6.3,0,0,0,0,0,0,0,1,0,0,Achilles
170,2015,Darren Collison,PG,45,1565,17.5,Kings,placed on IL with strained right hip flexor (out for season),8,182.88,79.3786,27,2009,13.6,13.6,0,0,1,0,0,0,0,0,0,0,Hip
80,2012,David Lee,PF,57,2121,19.7,Warriors,surgery to repair torn abdominal muscle (out for season),5,205.74,108.86208,29,2005,16.9,20.7,0,0,0,0,0,0,0,0,0,1,Other
52,2011,David West,PF,70,2451,20.4,Hornets,placed on IL with torn ACL in left knee (out for season),4,205.74,108.86208,30,2003,22.1,19.5,0,0,0,1,0,0,0,0,0,0,Knee
279,2017,DeMar DeRozan,SG,74,2620,24,Raptors,placed on IL for rest / flu (out for season),10,200.66,99.79024,27,2009,14.7,22.6,0,0,0,0,0,0,0,0,0,1,Other
172,2015,DeMarcus Cousins,C,59,2013,25.2,Kings,placed on IL with sore right foot (out for season),8,210.82,122.46984,24,2010,15,28.43333333,0,1,0,0,0,0,0,0,0,0,Foot
54,2011,Deron Williams,PG,65,2465,21.1,Nets,placed on IL with sore right wrist (out for season),4,190.5,94.800728,27,2005,22.6,19.5,0,0,0,0,0,0,0,0,0,1,Other
239,2016,Derrick Favors,PF,62,1983,21.6,Jazz,sore right knee (out for season),9,208.28,120.20188,24,2010,13.5,16.5,0,0,0,1,0,0,0,0,0,0,Knee
93,2012,Derrick Rose,PG,39,1375,23,Bulls,torn ACL in left knee (out for season),5,190.5,86.18248,23,2008,17,9.5,0,0,0,1,0,0,0,0,0,0,Knee
20,2011,Devin Ebanks,SG,20,118,19.4,Lakers,placed on IL with shin injury (out for season),4,205.74,97.52228,21,2010,3,3.2,0,0,0,0,0,0,0,0,0,1,Other
